T_Nuevo,T_Viejo,Err,Sol_Nuevo,Sol_Viejo
0.0046405792236328125,0.0893716812133789,0,True,1
0.0009064674377441406,0.018077611923217773,0,True,3
0.10312128067016602,0.22185182571411133,0,True,1
0.4503748416900635,0.2369365692138672,0,True,6
0.006042957305908203,0.09079837799072266,0,True,1
0.42903923988342285,0.6606907844543457,0,True,1
0.0029861927032470703,0.03666973114013672,0,True,1
0.13454890251159668,0.7499926090240479,0,True,3
0.06010246276855469,0.1659994125366211,0,True,3
0.018517494201660156,0.2621281147003174,0,True,1
0.01258993148803711,0.1515357494354248,0,True,2
0.018018484115600586,0.14522171020507812,0,True,2
0.010536909103393555,0.13775849342346191,0,True,1
0.005533695220947266,0.023637771606445312,0,True,2
0.5469157695770264,0.8553242683410645,0,True,3
9.251399278640747,2.982728958129883,0,True,2
0.044447898864746094,0.2862272262573242,0,True,1
0.09972620010375977,0.12350845336914062,0,True,2
0.08933186531066895,0.2453446388244629,0,True,2
20.620827436447144,1.2191712856292725,0,True,2
0.8415169715881348,0.979811429977417,0,True,1
0.9526522159576416,0.8268005847930908,0,True,2
0.0019998550415039062,0.059160470962524414,0,True,2
4.538082122802734,1.3989050388336182,0,True,2
0.017531633377075195,0.10216045379638672,0,True,1
0.19762468338012695,0.5018212795257568,0,True,2
0.9492039680480957,1.406848430633545,0,True,1
0.027498722076416016,0.20294785499572754,0,True,1
0.6851730346679688,1.0610911846160889,0,True,1
0.021805524826049805,0.20441651344299316,0,True,2
0.01788806915283203,0.18243646621704102,0,True,1
0.7663910388946533,0.7349286079406738,0,True,2
0.47478699684143066,0.6204667091369629,0,True,1
0.008635997772216797,0.08293962478637695,0,True,3
3.7206814289093018,0.445387601852417,0,True,2
0.025931358337402344,0.27062058448791504,0,True,2
0.0047454833984375,0.08231520652770996,0,True,1
0.05971693992614746,0.2052295207977295,0,True,2
0.002690553665161133,0.05105233192443848,0,True,3
0.005492210388183594,0.08176732063293457,0,True,1
0.46044015884399414,0.5840792655944824,0,True,3
0.02901911735534668,0.11722850799560547,0,True,1
0.0845804214477539,0.2823779582977295,0,True,1
0.005907773971557617,0.08520650863647461,0,True,1
0.024598360061645508,0.07718849182128906,0,True,1
0.08572530746459961,0.24713826179504395,0,True,1
0.019522666931152344,0.18740391731262207,0,True,1
0.0019850730895996094,0.05022287368774414,0,True,2
0.022910594940185547,0.20716166496276855,0,True,1
