T_Nuevo,T_Viejo,Err,Sol_Nuevo,Sol_Viejo
0.008128643035888672,0.15926098823547363,0,True,1
0.0,0.022834062576293945,0,True,3
0.22350788116455078,0.3236515522003174,0,True,1
0.6762435436248779,0.3484151363372803,0,True,6
0.00827336311340332,0.08782625198364258,0,True,1
0.45523619651794434,0.7198517322540283,0,True,1
0.003604412078857422,0.036032676696777344,0,True,1
0.15984320640563965,0.8122389316558838,0,True,3
0.0680546760559082,0.1761770248413086,0,True,3
0.020583629608154297,0.2693822383880615,0,True,1
0.0204164981842041,0.15993666648864746,0,True,2
0.021998882293701172,0.1700429916381836,0,True,2
0.009784221649169922,0.16037583351135254,0,True,1
0.003512859344482422,0.026342391967773438,0,True,2
1.1699140071868896,0.9723789691925049,0,True,3
16.065715551376343,9.494920492172241,0,True,2
0.15002775192260742,0.9197814464569092,0,True,1
0.34143614768981934,0.3670663833618164,0,True,2
0.2657346725463867,0.7709476947784424,0,True,2
34.21954703330994,2.02362322807312,0,True,2
0.8666818141937256,1.410132646560669,0,True,1
1.9584479331970215,1.4496586322784424,0,True,2
0.0,0.07982969284057617,0,True,2
5.200120449066162,1.420100450515747,0,True,2
0.01965188980102539,0.0926821231842041,0,True,1
0.24751806259155273,0.6600191593170166,0,True,2
1.3804593086242676,1.4413800239562988,0,True,1
0.01853203773498535,0.19983863830566406,0,True,1
0.7496623992919922,1.0825285911560059,0,True,1
0.018381595611572266,0.20241022109985352,0,True,2
0.016989707946777344,0.21478009223937988,0,True,1
0.8789536952972412,0.7363677024841309,0,True,2
0.43363285064697266,0.6945943832397461,0,True,1
0.005769968032836914,0.1418612003326416,0,True,3
4.281467914581299,0.43507933616638184,0,True,2
0.02622532844543457,0.22380447387695312,0,True,2
339.58961939811707,8.180058717727661,0,True,3
0.004157304763793945,0.0800023078918457,0,True,1
0.05699801445007324,0.22186923027038574,0,True,2
0.009908437728881836,0.056900739669799805,0,True,3
0.01115727424621582,0.1131591796875,0,True,1
0.5121557712554932,1.5637836456298828,0,True,3
0.08982110023498535,0.39507269859313965,0,True,1
0.3000056743621826,0.7769045829772949,0,True,1
0.021256208419799805,0.2713022232055664,0,True,1
0.09331250190734863,0.24834585189819336,0,True,1
0.27802300453186035,0.714780330657959,0,True,1
0.06615686416625977,0.5493690967559814,0,True,1
0.0036017894744873047,0.1522219181060791,0,True,2
0.07447028160095215,0.5796384811401367,0,True,1
0.0,0.05667757987976074,0,True,1
0.003588438034057617,0.11021614074707031,0,True,3
0.3163468837738037,0.6231808662414551,0,True,1
14.55789852142334,5.769686222076416,0,True,4
0.010003089904785156,0.17999720573425293,0,True,1
1.9408667087554932,2.6294326782226562,0,True,2
0.01487588882446289,0.19988298416137695,0,True,2
0.005162239074707031,0.1603260040283203,0,True,1
0.7708115577697754,0.8763737678527832,0,True,1
0.14012813568115234,0.6799252033233643,0,True,3
0.09019327163696289,0.45999622344970703,0,True,1
0.3416862487792969,0.5834033489227295,0,True,3
0.041314125061035156,0.16495990753173828,0,True,1
0.8584802150726318,1.5400283336639404,0,True,1
0.050348758697509766,0.29129791259765625,0,True,2
0.013814449310302734,0.27942585945129395,0,True,2
1.6599631309509277,2.5163159370422363,0,True,2
0.300156831741333,1.2069270610809326,0,True,1
0.00816202163696289,0.17835640907287598,0,True,2
11.291763305664062,8.47829270362854,0,True,4
0.014111518859863281,0.34646105766296387,0,True,1
58.96974968910217,19.46323847770691,0,True,3
0.18166399002075195,0.5414233207702637,0,True,2
0.06364321708679199,0.5176515579223633,0,True,1
0.010315656661987305,0.11446332931518555,0,True,1
0.006696224212646484,0.14192819595336914,0,True,3
0.007888078689575195,0.15044212341308594,0,True,2
0.09382104873657227,0.702721357345581,0,True,3
0.051462650299072266,0.21469521522521973,0,True,2
9.085639953613281,4.8433921337127686,0,True,2
0.40013647079467773,0.5448057651519775,0,True,2
0.06838607788085938,0.20499062538146973,0,True,1
0.017791748046875,0.45224523544311523,0,True,2
0.06189393997192383,0.8746109008789062,0,True,1
0.01688218116760254,0.12648749351501465,0,True,1
0.01537775993347168,0.28139472007751465,0,True,2
0.12518095970153809,0.8719902038574219,0,True,3
0.08629274368286133,0.36890077590942383,0,True,1
0.016772031784057617,0.2719104290008545,0,True,2
0.02408456802368164,0.33338093757629395,0,True,2
0.2447819709777832,0.840038537979126,0,True,1
0.22003650665283203,0.40636110305786133,0,True,1
0.10631227493286133,0.8277633190155029,0,True,2
0.0162353515625,0.393465518951416,0,True,2
0.598459005355835,0.358306884765625,0,True,1
12.543118238449097,8.26516079902649,0,True,3
2.741678237915039,2.617880344390869,0,True,2
0.02233719825744629,0.3928954601287842,0,True,2
0.017701387405395508,0.43132472038269043,0,True,2
