T_Nuevo,T_Viejo,Err,Sol_Nuevo,Sol_Viejo
0.0036110877990722656,0.0834195613861084,0,True,1
0.0015327930450439453,0.0168454647064209,0,True,3
0.10499930381774902,0.22478294372558594,0,True,1
0.43573737144470215,0.21410107612609863,0,True,6
0.0059833526611328125,0.08734798431396484,0,True,1
0.37949585914611816,0.6279516220092773,0,True,1
0.003077983856201172,0.03237724304199219,0,True,1
0.12063479423522949,0.6783401966094971,0,True,3
0.0480351448059082,0.15869903564453125,0,True,3
0.01846790313720703,0.23264551162719727,0,True,1
0.01340174674987793,0.147294282913208,0,True,2
0.015700817108154297,0.13614320755004883,0,True,2
0.012226581573486328,0.13738441467285156,0,True,1
0.004969358444213867,0.02176356315612793,0,True,2
0.5592057704925537,0.8223989009857178,0,True,3
8.817512512207031,2.8415400981903076,0,True,2
0.0406496524810791,0.2904338836669922,0,True,1
0.10316967964172363,0.1326427459716797,0,True,2
0.07418513298034668,0.23163533210754395,0,True,2
33.25027871131897,1.2362496852874756,0,True,2
1.5711441040039062,1.9709291458129883,0,True,1
1.113067388534546,1.4529337882995605,0,True,2
0.002036571502685547,0.06698012351989746,0,True,2
5.345462799072266,1.640007734298706,0,True,2
0.02209186553955078,0.1239020824432373,0,True,1
0.23509883880615234,0.5321216583251953,0,True,2
1.446256399154663,1.959303855895996,0,True,1
0.04611492156982422,0.2703099250793457,0,True,1
0.9017491340637207,1.4572863578796387,0,True,1
0.024320125579833984,0.2600710391998291,0,True,2
0.018664836883544922,0.26759958267211914,0,True,1
1.0246117115020752,1.0022757053375244,0,True,2
0.617023229598999,0.8793118000030518,0,True,1
0.005570650100708008,0.08188271522521973,0,True,3
5.37387228012085,0.5554513931274414,0,True,2
0.025982379913330078,0.3177762031555176,0,True,2
0.006129741668701172,0.10758614540100098,0,True,1
0.09443259239196777,0.23190879821777344,0,True,2
0.0035932064056396484,0.07855510711669922,0,True,3
0.006340742111206055,0.09378814697265625,0,True,1
0.6332137584686279,0.7755208015441895,0,True,3
0.03975510597229004,0.15293431282043457,0,True,1
0.14519262313842773,0.3901400566101074,0,True,1
0.009660959243774414,0.09906983375549316,0,True,1
0.03711652755737305,0.08621597290039062,0,True,1
0.0907135009765625,0.3019125461578369,0,True,1
0.033933401107788086,0.23674368858337402,0,True,1
0.0025441646575927734,0.06091785430908203,0,True,2
0.02579808235168457,0.2696852684020996,0,True,1
